id,create_at,update_at,name,owner,language,stars,watchers,forks,size
23141830,2014-08-20T08:41:38Z,2019-01-03T09:33:41Z,normalizr,paularmstrong,JavaScript,15362,15362,625,1400
402046,2009-12-06T14:56:32Z,2019-01-03T10:58:26Z,jsPDF,MrRio,JavaScript,15359,15359,2921,60876
33569135,2015-04-07T21:25:17Z,2019-01-03T11:25:52Z,RxSwift,ReactiveX,Swift,15282,15282,2508,12970
5710341,2012-09-07T00:15:39Z,2019-01-03T09:14:48Z,bower,bower,JavaScript,15275,15275,1989,4280
101394335,2017-08-25T10:40:44Z,2019-01-03T11:52:14Z,ant-design-pro,ant-design,JavaScript,15257,15257,3185,27640
31533997,2015-03-02T09:58:04Z,2019-01-03T03:18:44Z,fresco,facebook,Java,15251,15251,3629,66058
79510167,2017-01-20T00:44:02Z,2019-01-03T09:37:53Z,pipenv,pypa,Python,15210,15210,1116,227684
13124802,2013-09-26T14:31:10Z,2019-01-03T10:34:42Z,influxdb,influxdata,Go,15205,15205,2204,68134
538746,2010-02-27T15:55:23Z,2019-01-03T11:44:07Z,ruby,ruby,Ruby,15204,15204,4092,186296
38934449,2015-07-11T17:32:01Z,2019-01-03T12:04:00Z,react-redux,reduxjs,JavaScript,15196,15196,2367,2181
35133520,2015-05-06T01:44:15Z,2019-01-03T05:04:57Z,mostly-adequate-guide,MostlyAdequate,JavaScript,15185,15185,1224,5361
108110,2009-01-15T16:15:18Z,2019-01-03T08:42:13Z,mongo,mongodb,C++,15174,15174,3884,442024
15308499,2013-12-19T10:10:13Z,2019-01-03T12:09:23Z,Sortable,SortableJS,JavaScript,15169,15169,2332,1237
8900723,2013-03-20T09:37:43Z,2019-01-03T11:31:15Z,ngrok,inconshreveable,Go,15159,15159,2579,858
124171501,2018-03-07T03:09:25Z,2019-01-03T12:08:52Z,mpvue,Meituan-Dianping,JavaScript,15154,15154,1497,7929
22657662,2014-08-05T20:04:20Z,2019-01-03T11:48:05Z,docker-cheat-sheet,wsargent,,15144,15144,2683,647
40997482,2015-08-18T21:03:56Z,2019-01-03T11:57:56Z,vim,vim,C,15139,15139,1970,88764
16563587,2014-02-06T00:18:47Z,2019-01-03T12:01:38Z,cockroach,cockroachdb,Go,15126,15126,1627,1057288
72103891,2016-10-27T12:00:26Z,2019-01-03T09:10:30Z,jstraining,ruanyf,,15116,15116,4180,4085
1420053,2011-02-28T02:44:05Z,2019-01-03T11:56:14Z,guzzle,guzzle,PHP,15114,15114,1887,8728
16722900,2014-02-11T07:28:24Z,2019-01-03T08:16:30Z,ipfs,ipfs,,15054,15054,965,2374
441269,2009-12-18T01:39:53Z,2019-01-03T07:04:25Z,coffeescript,jashkenas,CoffeeScript,15045,15045,1995,26432
23338716,2014-08-26T04:27:45Z,2019-01-03T11:16:13Z,react-select,JedWatson,JavaScript,15017,15017,3043,13428
10851820,2013-06-21T20:32:35Z,2019-01-03T09:47:18Z,ramda,ramda,JavaScript,14996,14996,959,7167
215047,2009-05-31T21:45:41Z,2019-01-03T08:19:02Z,MBProgressHUD,jdg,Objective-C,14996,14996,3439,1202
98029592,2017-07-22T12:21:03Z,2019-01-03T10:34:38Z,learn-regex,ziishaned,,14995,14995,1453,516
17728164,2014-03-13T22:25:48Z,2019-01-03T10:20:01Z,terraform,hashicorp,Go,14963,14963,4327,152943
26102180,2014-11-03T03:21:42Z,2019-01-03T09:42:58Z,material-dialogs,afollestad,Kotlin,14944,14944,2598,204504
92807616,2017-05-30T07:18:52Z,2019-01-03T12:06:23Z,English-level-up-tips-for-Chinese,byoungd,,14936,14936,1726,27639
57222302,2016-04-27T14:59:16Z,2019-01-03T09:14:17Z,gym,openai,Python,14927,14927,3878,3600
20270252,2014-05-28T19:49:55Z,2019-01-03T12:03:18Z,feather,feathericons,JavaScript,14927,14927,521,14925
33263118,2015-04-01T17:51:11Z,2019-01-03T12:07:59Z,uBlock,gorhill,JavaScript,14926,14926,1248,102120
51728141,2016-02-15T03:23:27Z,2019-01-03T11:34:04Z,vux,airyland,Vue,14877,14877,3337,31492
90563585,2017-05-07T21:40:56Z,2019-01-03T11:48:49Z,cheat.sh,chubin,Python,14842,14842,691,3497
5373551,2012-08-10T19:34:38Z,2019-01-03T11:09:22Z,libgdx,libgdx,Java,14830,14830,5791,1014330
26554,2008-06-18T23:30:53Z,2019-01-03T11:34:47Z,reddit,reddit-archive,Python,14826,14826,2745,40093
2540368,2011-10-08T22:38:32Z,2019-01-03T09:27:25Z,passport,jaredhanson,JavaScript,14790,14790,885,404
18964487,2014-04-20T13:06:28Z,2019-01-03T11:55:45Z,es6tutorial,ruanyf,JavaScript,14767,14767,6648,4662
15045751,2013-12-09T11:40:58Z,2019-01-03T11:06:01Z,compose,docker,Python,14766,14766,2251,10532
2056312,2011-07-16T01:05:58Z,2019-01-03T11:14:48Z,html2canvas,niklasvh,JavaScript,14742,14742,2858,9041
